<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRTAF.US,D,20220301,000000,9.93,9.93,9.89,9.89,10403,0
CRTAF.US,D,20220302,000000,9.9,9.96,9.89,9.96,160052,0
CRTAF.US,D,20220303,000000,9.94,10,9.94,10,305312,0
CRTAF.US,D,20220307,000000,9.955,9.96,9.955,9.96,51001,0
CRTAF.US,D,20220309,000000,9.95,10,9.95,10,4000,0
CRTAF.US,D,20220311,000000,9.98,9.98,9.98,9.98,51408,0
CRTAF.US,D,20220315,000000,9.95,9.955,9.95,9.95,596177,0
CRTAF.US,D,20220316,000000,9.95,9.965,9.95,9.965,54387,0
CRTAF.US,D,20220318,000000,9.97,9.97,9.97,9.97,1100,0
CRTAF.US,D,20220323,000000,9.98,9.98,9.98,9.98,2500,0
CRTAF.US,D,20220328,000000,9.99,9.99,9.99,9.99,5000,0
CRTAF.US,D,20220330,000000,10,10,10,10,322704,0
CRTAF.US,D,20220401,000000,10,10,10,10,10800,0
CRTAF.US,D,20220404,000000,10.03,10.03,10.03,10.03,5001,0
CRTAF.US,D,20220405,000000,10.03,10.03,10.03,10.03,1400,0
CRTAF.US,D,20220413,000000,9.995,10.01,9.995,10.01,38255,0
CRTAF.US,D,20220425,000000,10.02,10.03,10.01,10.03,18854,0
CRTAF.US,D,20220426,000000,10.02,10.02,10,10.01,100100,0
CRTAF.US,D,20220427,000000,10,10.05,10,10.05,4729,0
CRTAF.US,D,20220428,000000,10.01,10.02,10.01,10.01,364337,0
CRTAF.US,D,20220502,000000,10.02,10.02,10.01,10.01,105900,0
CRTAF.US,D,20220505,000000,10.02,10.03,10.02,10.02,251349,0
CRTAF.US,D,20220510,000000,9.9701,9.9701,9.9701,9.9701,750,0
CRTAF.US,D,20220512,000000,9.98,9.98,9.98,9.98,14601,0
CRTAF.US,D,20220513,000000,10.01,10.0101,10.01,10.01,41154,0
CRTAF.US,D,20220519,000000,10.01,10.01,10.01,10.01,18006,0
CRTAF.US,D,20220525,000000,10,10.01,9.98,9.98,29650,0
