ACC_TRDVAL,ACC_TRDVOL,CMPPREVDD_PRC,FLUC_RT,FLUC_TP_CD,LIST_SHRS,MKTCAP,TDD_CLSPRC,TDD_HGPRC,TDD_LWPRC,TDD_OPNPRC,TRD_DD
"69,973,810","18,118",30,0.78,1,"32,109,878","124,746,876,030","3,885","3,900","3,840","3,855",2024/12/30
"82,679,820","21,458",-60,-1.53,2,"32,109,878","123,783,579,690","3,855","3,925","3,820","3,915",2024/12/27
"122,433,535","30,897",10,0.26,1,"32,109,878","125,710,172,370","3,915","4,015","3,910","3,950",2024/12/26
"200,223,345","50,350",-65,-1.64,2,"32,109,878","125,389,073,590","3,905","4,040","3,905","3,970",2024/12/24
"102,667,610","26,025",70,1.79,1,"32,109,878","127,476,215,660","3,970","3,985","3,870","3,885",2024/12/23
"124,629,940","31,893",-70,-1.76,2,"32,109,878","125,228,524,200","3,900","4,020","3,870","4,020",2024/12/20
"90,927,385","22,908",-50,-1.24,2,"32,109,878","127,476,215,660","3,970","4,005","3,945","3,945",2024/12/19
"121,632,720","30,500",60,1.52,1,"32,109,878","129,081,709,560","4,020","4,020","3,950","3,960",2024/12/18
"63,203,750","16,115",0,0.00,3,"32,109,878","127,155,116,880","3,960","3,985","3,890","3,915",2024/12/17
"117,030,050","29,604",55,1.41,1,"32,109,878","127,155,116,880","3,960","3,990","3,910","3,930",2024/12/16
"186,353,785","48,031",55,1.43,1,"32,109,878","125,389,073,590","3,905","3,920","3,785","3,785",2024/12/13
"99,688,185","26,182",50,1.32,1,"32,109,878","123,623,030,300","3,850","3,850","3,765","3,800",2024/12/12
"181,968,965","48,404",205,5.70,1,"32,109,878","122,017,536,400","3,800","3,815","3,595","3,595",2024/12/11
"259,392,605","72,868",175,5.12,1,"32,109,878","115,435,011,410","3,595","3,625","3,420","3,420",2024/12/10
"606,668,540","173,388",-265,-7.19,2,"32,109,878","109,815,782,760","3,420","3,645","3,415","3,645",2024/12/09
"355,981,505","96,558",-55,-1.47,2,"32,109,878","118,324,900,430","3,685","3,805","3,645","3,805",2024/12/06
"232,795,020","61,784",-30,-0.80,2,"32,109,878","120,090,943,720","3,740","3,830","3,735","3,790",2024/12/05
"174,560,080","46,396",-60,-1.57,2,"32,109,878","121,054,240,060","3,770","3,870","3,730","3,730",2024/12/04
